"温馨提示：导出榜单如用于媒体发布，请注明数据来自“新媒体指数”，并请嵌入新媒体指数的LOGO, logo url: http://www.gsdata.cn/themes/search_new/images/tp_03.png",,,,,,,,,,,,,,
公众号,帐号名,标题,URL,发布时间,DAY阅读数,DAY点赞数,WEEK阅读数,WEEK点赞数,是否头条,状态,原文链接,作者,原创标识,摘要
丽水同城,viplstc,女友去世，身家亿万的男友为其举办冥婚，并且自杀身亡！！,http://mp.weixin.qq.com/s?__biz=MjM5MTM1NDgzMQ==&mid=400516122&idx=1&sn=82d704436fdd5f1e0a9256f873790b65&scene=4#wechat_redirect,2015-11-13 14:29:07,100001,23750,,,1,正常,,,无,台海网5月30日讯 据台湾《苹果日报》报道，新北市一名痴情男一年前开车载女友出游车祸，造成女友死亡，他自责
任真天,rzt317,泪奔！那些年你被伤的自尊,http://mp.weixin.qq.com/s?__biz=MjM5OTIwODMzMQ==&mid=407340858&idx=1&sn=110cffd68191942201c33840b5894e62&scene=4#wechat_redirect,2015-11-13 11:04:03,100001,18250,,,1,正常,http://v.youku.com/v_show/id_XMTM4NDgyNjYxMg==.html,主编：唐唐,,你觉得最伤自尊的一句话是什么？小伙伴们，今天是礼拜五~有唐唐神吐槽看哦！而且熬过今天就是双休日了！吼吼吼！想
冯站长之家,fgzadmin,2015年11月13日（星期五）三分钟新闻早餐（综合版）,http://mp.weixin.qq.com/s?__biz=MzA5OTQyMDgyOQ==&mid=401374575&idx=1&sn=7f239af6a9fc3af3ed6811883a1bf294&scene=4#wechat_redirect,2015-11-13 05:56:17,100001,13147,,,1,正常,http://www.lizhi.fm/1486105/2499963557045651974,,,习近平布局经济结构改革：战略上打持久战，战术上打歼灭战；李克强：严查压级压价，防止“卖粮难”；新华社调查河南农民卖粮难：卖一次要给500元好处费；[反腐] 31省区市“打虎”全覆盖，也许只是开始。
一起作业家长通,yiqijiazhang,别让孩子暴露在雾霾里，雾霾竟然比非典可怕得多！,http://mp.weixin.qq.com/s?__biz=MjM5NjE5OTc0MQ==&mid=776278238&idx=1&sn=b938a3eafa798f6c5068f5a908f3e54d&scene=4#wechat_redirect,2015-11-13 18:01:01,100001,8901,,,1,正常,,,无,雾霾作为大气污染比非典可怕得多，这并非危言耸听！
占豪,zhanhao668,原创丨印尼对华变脸，所为何故？,http://mp.weixin.qq.com/s?__biz=MzA5OTA0NDIyMQ==&mid=401084540&idx=1&sn=1c3a97bcb529d3cd95df42cd458dc733&scene=4#wechat_redirect,2015-11-13 00:41:19,100001,6786,,,1,正常,,占豪,,过去多年，印尼在南海问题上一直谨言慎行，基本上不参与争端，一直表现很中立。但是，最近大半年好像味道不太对。今年3月，印尼总统佐科在访华前称，中国划定的九段线没有依据；今年10月，访问白宫的的印尼总统佐科在与奥巴马会谈后发表共同声明，称“两国共有对南海最近事态发展的担忧”，双方同时指出“所有当事方避免加剧南海紧张局势的行动非常重要”。双方在保护航行自由的重要性上达成共识。
冷兔,lengtoo,教大家如何在衣服上绑一个漂亮的蝴蝶结，拿去get！不用谢！,http://mp.weixin.qq.com/s?__biz=MTgwNTE3Mjg2MA==&mid=400525478&idx=3&sn=324e5879d1f05e4a42e5008debcbf3c3&scene=4#wechat_redirect,2015-11-13 13:01:56,100001,6394,,,3,正常,,,无,看完默默的收藏了起来！
冷兔,lengtoo,【冷兔趣闻】一网友住在海边，某天上班的途中偶遇了这个小家伙....,http://mp.weixin.qq.com/s?__biz=MTgwNTE3Mjg2MA==&mid=400525478&idx=1&sn=8cc630b148e20012a0ae814cf0402bfb&scene=4#wechat_redirect,2015-11-13 13:01:55,100001,6308,,,1,正常,,,无,不低头，王冠会掉！
冷兔,lengtoo,【冷兔•槽】每日一冷NO.978,http://mp.weixin.qq.com/s?__biz=MTgwNTE3Mjg2MA==&mid=400532697&idx=1&sn=02d8e18880025494eb41cf03adb4a499&scene=4#wechat_redirect,2015-11-13 19:42:50,100001,5479,,,1,正常,http://mp.weixin.qq.com/s?__biz=MzAxNzE0MDAzOA==&mid=400538532&idx=1&sn=cb3c755130d5caf814f2e40fdd94c241&scene=4#wechat_redirect,,无,冷兔槽，“期中考试后你们猜猜家长会怎么样。” “生二胎。”
冷兔,lengtoo,当单身狗独自看爱情电影时....,http://mp.weixin.qq.com/s?__biz=MTgwNTE3Mjg2MA==&mid=400525478&idx=2&sn=bc9b8c032e8e37b7e541bea7b56eb130&scene=4#wechat_redirect,2015-11-13 13:01:56,100001,5320,,,2,正常,,,无,宝宝心里苦啊！！
天天炫拍,TTXuanPai,对不起，这种朋友我不要……,http://mp.weixin.qq.com/s?__biz=MzAwNTI1MDE0MA==&mid=967522780&idx=1&sn=f46be1c2a2cdeec84c8aeaa9ab6240f4&scene=4#wechat_redirect,2015-11-13 11:26:18,100001,4851,,,1,正常,http://mp.weixin.qq.com/s?__biz=MzAwNTI1MDE0MA==&mid=203659823&idx=1&sn=3fdcbbb2c4f3b4d1f67b9b1c056281ed&scene=25#wechat_redirect,,无,古话有“六不合”“七不交”，很有道理，这种朋友我不要，我也不做这种人！对父母不孝者不可交！为人刻薄者不可交！
卡娃微卡,kawa01,难过了，心痛了，泪流了......,http://mp.weixin.qq.com/s?__biz=MjM5MDg0OTE0Mw==&mid=1032796046&idx=1&sn=71f83e4dfc725a9bd7ea8f93853ce63f&scene=4#wechat_redirect,2015-11-13 16:32:57,100001,4742,,,1,正常,,西江月,无,把你伤了的人，本不值得珍惜。
全球搞笑视频榜,neikudouxiaoshile,笛子版《西海情歌》，连听10遍，醉了！,http://mp.weixin.qq.com/s?__biz=MjM5NzI2NDgyMA==&mid=401743772&idx=1&sn=e2ef1eff2b83b9691a7ec79022b52a6e&scene=4#wechat_redirect,2015-11-13 20:00:21,100001,4601,,,1,正常,,,无,
小果哥哥,xiaoguogege123,▶这小伙真会吹，听醉了！,http://mp.weixin.qq.com/s?__biz=MjM5ODY4MTI0NQ==&mid=400744937&idx=1&sn=3753d8ebe920d89442582d8efb092afa&scene=4#wechat_redirect,2015-11-13 18:01:51,100001,4331,,,1,正常,http://mp.weixin.qq.com/s?__biz=MjM5ODY4MTI0NQ==&mid=202469144&idx=1&sn=1dea4f6bfbccb5e7d1f3eccec9cefa10#rd,,无,点击&amp;quot;小果哥哥&amp;quot;看劲爆视频
人民日报,rmrbwx,【夜读】善待别人，才能被世界温柔相待,http://mp.weixin.qq.com/s?__biz=MjM5MjAxNDM4MA==&mid=401875250&idx=1&sn=6631e7451654670c46418aec9a75053f&scene=4#wechat_redirect,2015-11-13 22:15:25,100001,3821,,,1,正常,http://mp.weixin.qq.com/s?__biz=MzA5NTAwMTIzOQ==&mid=401575771&idx=1&sn=68d2a3029c99bd5099eca8b6b4129468&scene=1&srcid=1107SRrY4ATTzlXhVO0PQQfA&key=d4b25ade3662d643a977e2a49b160454c2be87b3eeda8eac101a2b4748fcd265fb859c563205e843697d2b1497251502&ascene=1&uin=OTIyOTE5Mzgy&devicetype=webwx&version=70000001&pass_ticket=lL%2FJeqQymUfhb%2BDxscG0KLcIrVBBU1P5Cj3Y1dbpjNTx2vrx%2Fp720fvklPXfm8VV,,无,你若善待别人，也许，有一天他心有触动，也会善待他遇到的另一些人吧？
人民日报,rmrbwx,【荐读】一条发错了的短信，看哭了好多人！,http://mp.weixin.qq.com/s?__biz=MjM5MjAxNDM4MA==&mid=401766859&idx=4&sn=ce2ca2728152a8f2a000437b1da6cd51&scene=4#wechat_redirect,2015-11-13 13:26:20,100001,3789,,,4,正常,http://mp.weixin.qq.com/s?__biz=MjM5NDE0ODE2MA==&mid=209107056&idx=1&sn=6558728f84e449948228762d5c5ab52a&scene=1&srcid=11134LWOeuB1OcE9rbBeeSwx&key=d4b25ade3662d643a4e98f78ef08abed4fdd90e69e223a268e54931943aed0d6776f175fc7d4c765dc470b8827e039e3&ascene=1&uin=MjA2MjgxNTgzNw%3D%3D&devicetype=webwx&version=70000001&pass_ticket=qI4kIBKLvv2Wl%2FRSk367FNVGx5KAI0O9uL5m8%2F0AcSX9ySCAzIaiEL3DzqMDjBwO,,无,来源：麦拉风（ID：mylafe-mm）一次发错短信引发的感人故事，也许小伙伴们也曾经有过类似的经历，最后你
冷兔,lengtoo,哈哈哈这俩人太贱了！喂妖妖灵吗？,http://mp.weixin.qq.com/s?__biz=MTgwNTE3Mjg2MA==&mid=400532697&idx=3&sn=583afadc981fd34df061440796c45de7&scene=4#wechat_redirect,2015-11-13 19:42:51,100001,3566,,,3,正常,,,无,感觉他俩坟头长草了应该。。。
大爱猫咪控,daaimaomikong,有一只超黏人的猫咪是什么样的体验？,http://mp.weixin.qq.com/s?__biz=MjM5MDAzNDcwMA==&mid=400762041&idx=1&sn=f81dcc974f05771e99c5b53d43f96da2&scene=4#wechat_redirect,2015-11-13 11:55:17,100001,3388,,,1,正常,http://mp.weixin.qq.com/s?__biz=MjM5MDAzNDcwMA==&mid=203875101&idx=1&sn=c5f96f6ac4bcf8beac610fe98889dbde&scene=25#wechat_redirect,,无,文章来源：知乎：黄毛毛儿该文章已得到作者允许转载此文章，如需转载请联系该作者作者微博：@黄毛毛儿------
人民日报,rmrbwx,有一种忙叫“看起来很忙”（说的就是你）,http://mp.weixin.qq.com/s?__biz=MjM5MjAxNDM4MA==&mid=401766859&idx=1&sn=3754f5251bb9682c7f58ff229e423d6c&scene=4#wechat_redirect,2015-11-13 13:26:19,100001,3316,,,1,正常,http://m.people.cn/0/54/413/415/index_3.html,人民日报,有,1
人民日报,rmrbwx,【荐读】你还在我身旁（史上最美情书）,http://mp.weixin.qq.com/s?__biz=MjM5MjAxNDM4MA==&mid=401854158&idx=4&sn=94cd6935c0fedb12bfec8d6ef9385f18&scene=4#wechat_redirect,2015-11-13 19:54:09,100001,3238,,,4,正常,,,无,来源：财经早餐（ID:Femorning）　　这是香港中文大学《独立时代》杂志微情书征文大赛一等奖作品——《
读悦文摘,duzhe3650,❀ 因果12条，条条我信了！！,http://mp.weixin.qq.com/s?__biz=MzA5MTMxMjMyMw==&mid=401240558&idx=1&sn=73358f5d52fd6af6e1575f3a49026fa3&scene=4#wechat_redirect,2015-11-13 12:17:51,100001,3227,,,1,正常,,,无,。
央视新闻,cctvnewscenter,震惊 | 中国科学家发现能吃塑料的虫子！这意味着什么？,http://mp.weixin.qq.com/s?__biz=MTI0MDU3NDYwMQ==&mid=400891641&idx=2&sn=abb5cb9b06a7c313808616171a881507&scene=4#wechat_redirect,2015-11-13 14:52:49,100001,3209,,,2,正常,,,无,近日，中国科学家发现“塑料在黄粉虫肠道快速生物降解”，或为用生物降解方法治理“白色污染”提供新的思路。研究者
搞笑视频,gxsp88,▶冥婚，现场实拍,http://mp.weixin.qq.com/s?__biz=MzA3NDI2NzQzMg==&mid=400970465&idx=1&sn=662be1413d2f0ca696da4ae65688ff64&scene=4#wechat_redirect,2015-11-13 17:38:26,100001,3192,,,1,正常,,,无,请点击上面　　看劲爆视频！加仙儿微信“gxsp88”，精彩不断哦！
点点星光,diandianxingguang888,☀再苦，都要微笑！,http://mp.weixin.qq.com/s?__biz=MzA3MTQxODAxOA==&mid=400918780&idx=1&sn=02634355c0f4a8e181b4e531fdca66e3&scene=4#wechat_redirect,2015-11-13 09:46:24,100001,3111,,,1,正常,http://x.eqxiu.com/s/O3QF9zOp#rd,,,生活本不苦，苦的是欲望过多，身心本无累，累的是背负太多；再苦，都要用今天的微笑把它吟咏成一段从容的记忆；再累
