"温馨提示：导出榜单如用于媒体发布，请注明数据来自“新媒体指数”，并请嵌入新媒体指数的LOGO, logo url: http://www.gsdata.cn/themes/search_new/images/tp_03.png",,,,,,,,,,,,,,
公众号,帐号名,标题,URL,发布时间,DAY阅读数,DAY点赞数,WEEK阅读数,WEEK点赞数,是否头条,状态,原文链接,作者,原创标识,摘要
一起作业家长通,yiqijiazhang,女童爱喝酸奶，竟导致6岁的身体发育至12岁,http://mp.weixin.qq.com/s?__biz=MjM5NjE5OTc0MQ==&mid=871508193&idx=1&sn=69621e6115c6592aad29df8a832f9368&scene=4#wechat_redirect,2015-12-04 18:42:39,100001,21837,,,1,正常,,,无,随着生活水平的提高，家长们从小就开始给孩子补充各种各样的营养，然而殊不知过度给孩子“吃”反而会适得其反。
冯站长之家,fgzadmin,2015年12月4日（星期五）三分钟新闻早餐（综合版）,http://mp.weixin.qq.com/s?__biz=MzA5OTQyMDgyOQ==&mid=402537755&idx=1&sn=a4b9e7b15b3c9ecf3341e0cba27faa01&scene=4#wechat_redirect,2015-12-04 05:50:22,100001,15859,,,1,正常,http://www.lizhi.fm/1486105/2503858944208667654,,,美加州枪击案已致14死17伤，美警方通报：本土恐袭；一男一女两名疑犯被击毙，另有一人被拘捕。北京启用直升机拍交通违法，图像可清晰看到车牌，直升机参与高峰交通管理将成常态；
占豪,zhanhao668,原创丨普京死掐土耳其命门，奥巴马为何急了？,http://mp.weixin.qq.com/s?__biz=MzA5OTA0NDIyMQ==&mid=402029940&idx=1&sn=df29a8c470c05c368294303ad11a560e&scene=4#wechat_redirect,2015-12-04 01:01:27,100001,14749,,,1,正常,,占豪,,【本文由浦发银行信用卡特约发布，浦发信用卡免费送你回家！】浦发信用卡发635万路费“海陆空送万人回家过年”已
央视新闻,cctvnewscenter,善良比聪明更难得,http://mp.weixin.qq.com/s?__biz=MTI0MDU3NDYwMQ==&mid=402916072&idx=1&sn=4bf437f4eff33c57c8039e7a2067e5d1&scene=4#wechat_redirect,2015-12-04 22:44:52,100001,8633,,,1,正常,,,无,这世上丑恶的事和美好的事一样多，总有些时候，你会想发自内心地去做些事情，不求回报，只因值得。
Police,CN110CN,公安局各部门领导表情大全，不要笑！,http://mp.weixin.qq.com/s?__biz=MzA4MjAyMTU3MA==&mid=400787144&idx=1&sn=e2cc99f40072e1e04663e1c05c722205&scene=4#wechat_redirect,2015-12-04 20:43:47,100001,8422,,,1,正常,,主编：一帆,有,纯属娱乐 如有雷同  纯属巧合
人民日报,rmrbwx,帅！香港高校上演一场痛快打脸！,http://mp.weixin.qq.com/s?__biz=MjM5MjAxNDM4MA==&mid=408975817&idx=1&sn=5d1e9f815334550cc321e747e005643b&scene=4#wechat_redirect,2015-12-04 14:00:54,100001,7844,,,1,正常,http://mp.weixin.qq.com/s?__biz=MjM5MDk1NzQzMQ==&mid=401888226&idx=1&sn=395d1e4b4ea7aad8cbfe0ecd3c4d7b83&scene=1&srcid=1204LyKTpVN8LbEP07cpHiQk&key=ac89cba618d2d976d0fadfaa7ec29592e70079ba286979dc87b234d5efc787778b4047efeb225ea9457063c3f67e2a04&ascene=1&uin=MTUyMTgwMzk2MA%3D%3D&devicetype=webwx&version=70000001&pass_ticket=QUlag1OPxyBrrE99ux2R84wdGBgOzs6ZkJLKZ79aDN49RINvWYqPdEFurzGz0fqN,,无,来源：环球时报（ID：hqsbwx）作者： 耿直哥、刘子豪　　香港少数人仇视内地、不想做中国人的消息，早已不
冷兔,lengtoo,【冷兔•槽】每日一冷NO.999,http://mp.weixin.qq.com/s?__biz=MTgwNTE3Mjg2MA==&mid=400841135&idx=1&sn=6bbd67d5a6f6e5b56932c7f7c1e1eb07&scene=4#wechat_redirect,2015-12-04 20:38:13,100001,7116,,,1,正常,,,无,冷兔槽，抄作业，不怀疑人家是对是错，才是做人应该有的基本道德
嗨小冷,sogaad,打飞机没蛋黄正常吗？,http://mp.weixin.qq.com/s?__biz=MzAwMTAzMzY3Mg==&mid=401167121&idx=1&sn=02444ceed834656353eb726b42a79023&scene=4#wechat_redirect,2015-12-04 21:38:46,100001,5811,,,1,正常,http://mp.weixin.qq.com/s?__biz=MzAwMTAzMzY3Mg==&mid=401142128&idx=1&sn=64e322dadedbfab27c41744753842e76&scene=0#wechat_redirect,,无,《嗨小冷》第四季：打飞机没蛋黄正常吗？ 60；↓点击阅读原文看上一集↓
传统节日祝福,zhufu569,☺写给群主的工作报告，看完不许笑~,http://mp.weixin.qq.com/s?__biz=MjM5OTQ4NjA2Ng==&mid=403615887&idx=5&sn=d48a120090bb5e37433b622ac3046d7b&scene=4#wechat_redirect,2015-12-04 06:10:18,100001,5480,,,5,正常,,,,"尊敬的群主： 2015年即将完蛋,我们马上要走进2016年啦！作为本群一员，现在把一年来的工作情况做如下汇报"
本溪论坛,bxlt0414,本溪的吴静，我从国外回来找你了，你在哪里？,http://mp.weixin.qq.com/s?__biz=MjM5MTY3MDE2MA==&mid=400678620&idx=1&sn=140ae00953fe9fa7714fc4569d1a8a2d&scene=4#wechat_redirect,2015-12-04 17:00:15,100001,4866,,,1,正常,,,无,
